_id,OBJECTID,FLOC_ID,Building Description,Address,City,Ward Name,Former Municipality,District,City Cluster,Building Type,Building Status,Jurisdiction,Management,Owner,Gross Floor Area (M2),Gross Floor Area (FT2),Year Built,WARD,geometry
75,75,005435-B04,WILSON STATION CARHOUSE,570 WILSON AVE,TORONTO,York Centre,York,North,"Agencies, Boards, and Commissions",TTC Carhouse/Depot,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4508700456538, 43.7345941596657]]}"
76,76,005435-B03,WILSON SUBSTATION,570 WILSON AVE,TORONTO,York Centre,York,North,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4508700456538, 43.7345941596657]]}"
77,77,006271-B01,WILSON AVENUE STORM PUMPING STATION,949 WILSON AVE,TORONTO,York Centre,North York,North,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,56,603,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4740242425162, 43.7285663771487]]}"
78,78,005435-B02,WILSON STATION GARAGE & SUBWAY STORAGE YARD,570 WILSON AVE,TORONTO,York Centre,York,North,"Agencies, Boards, and Commissions",TTC Carhouse/Depot,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4508700456538, 43.7345941596657]]}"
79,79,006106-B01,POLICE RADIO & TELECOM SERVICES ANNEX,951 WILSON AVE,TORONTO,York Centre,North York,North,Internal Services Group,Police Station/Facility,City Use,Toronto Water,Facilities Management & Real Estate Services,City of Toronto,603,6488,1997,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.475338272769, 43.72801968998]]}"
80,80,007131-B03,MULTI-FUNCTION EMS STATION,1300 WILSON AVE,TORONTO,York Centre,None,North,Citizen-Focused Services Group A,EMS Station/Facility,City Use,Toronto Paramedic Services,Toronto Paramedic Services,City of Toronto,2024,21781,2017,6,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4945959661626, 43.7245021612784]]}"
81,81,004267-B01,DOWNSVIEW ARENA (INDOOR),1633 WILSON AVE,TORONTO,Humber River-Black Creek,North York,West,Citizen-Focused Services Group A,Arena,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,3398,36575,1963,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5127569305659, 43.719274993348]]}"
82,82,007574-B01,REFUGEE CENTRE - TORONTO PLAZA HOTEL,1677 WILSON AVE,NORTH YORK,Humber River-Black Creek,None,West,None,Shelter/Hostel,City Use,Commercial Firm,Commercial Firm,THIRD PARTY,13722,147707,1966,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.5146430792097, 43.7191254635063]]}"
83,83,005914-B01,BLACK CREEK PUBLIC LIBRARY,1700 WILSON AVE,TORONTO,Humber River-Black Creek,North York,West,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,Third Party Organization,537,5782,1968,7,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.512527906825, 43.7209627082447]]}"
84,84,001584-B01,WOODSWORTH HOUSING CO-OP - NORTH-WEST BLDG,133 WILTON ST,TORONTO,Spadina-Fort York,Toronto (Old),South,None,Multi-Unit Residence,Sale (Lease >20 Years),Landlord,Landlord,Third Party Organization,,,1979,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3689701630054, 43.6480965923645]]}"
85,85,001584-B03,WOODSWORTH HOUSING CO-OP - SOUTH-EAST BLDG,133 WILTON ST,TORONTO,Spadina-Fort York,Toronto (Old),South,None,Multi-Unit Residence,Sale (Lease >20 Years),Landlord,Landlord,Third Party Organization,,,1979,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3689701630054, 43.6480965923645]]}"
86,86,001584-B02,WOODSWORTH HOUSING CO-OP - SOUTH-WEST BLDG,133 WILTON ST,TORONTO,Spadina-Fort York,Toronto (Old),South,None,Multi-Unit Residence,Sale (Lease >20 Years),Landlord,Landlord,Third Party Organization,,,1979,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3689701630054, 43.6480965923645]]}"
87,87,001584-B04,WOODSWORTH HOUSING CO-OP - NORTH-EAST BLDG,133 WILTON ST,TORONTO,Spadina-Fort York,Toronto (Old),South,None,Multi-Unit Residence,Sale (Lease >20 Years),Landlord,Landlord,City of Toronto,,,1979,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3689701630054, 43.6480965923645]]}"
88,88,000557-B02,RIVERDALE FARM - BIRD HOUSE ON ISLAND,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Animal/Livestock Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,59,636,1975,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
89,89,000557-B06,RIVERDALE FARM - DRIVE SHED,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Arts/Cultural Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,161,1733,1991,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
90,90,000557-B04,RIVERDALE FARM - THE RESIDENCE HOUSE,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Residential House,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,381,4101,1974,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
91,91,000557-B07,RIVERDALE FARM - FRANCY BARN,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Stable/Barn,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,850,9149,1976,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
92,92,000557-B05,RIVERDALE FARM - SIMPSON HOUSE,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Concession Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,297,3197,1978,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
93,93,000557-B03,RIVERDALE FARM - PIG & POULTRY BARN,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Stable/Barn,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,225,2422,1978,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
94,94,000557-B08,RIVERDALE FARM - MEETING HOUSE,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Arts/Cultural Building,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,511,5500,1991,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
95,95,000557-B01,RIVERDALE FARM - DONNYBROOK RUIN,201 WINCHESTER ST,TORONTO,Toronto Centre,Toronto (Old),South,Citizen-Focused Services Group A,Miscellaneous Facility,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,35,380,1990,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3610523589056, 43.6673211260221]]}"
96,96,001342-B01,MCMURRICH JR PUBLIC SCHOOL - INDOOR SWIMMING POOL,101 WINONA DR,TORONTO,Toronto-St. Paul's,Toronto (Old),South,Citizen-Focused Services Group A,Swimming Pool - Indoor,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Toronto District School Board,,,,12,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4308587867559, 43.6770020664784]]}"
97,97,005296-B01,WIRRAL COURT SEWAGE PUMPING STATION,8 WIRRAL CRT,TORONTO,Scarborough Southwest,Scarborough,East,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,29,308,,20,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2447785017576, 43.7152481761418]]}"
98,98,000714-B02,COLLEGE PARK - SKATE PAVILION,420 YONGE ST,TORONTO,University-Rosedale,Toronto (Old),South,Citizen-Focused Services Group A,Park Fieldhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,138,1485,2019,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3838251593126, 43.6599135201156]]}"
99,99,001056-B01,ST CHARLES TAVERN - TOWER CLOCK,484 YONGE ST,TORONTO,Toronto Centre,Toronto (Old),South,None,Commercial Building,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,Third Party Organization,1394,15000,,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3839399331221, 43.6626099980619]]}"
100,100,005816-B01,TORONTO REFERENCE LIBRARY,789 YONGE ST,TORONTO,University-Rosedale,Metro Toronto,South,"Agencies, Boards, and Commissions",Library,City Use,Toronto Public Library Board,Toronto Public Library Board,City of Toronto,38651,416035,1977,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3866699674305, 43.6718789442642]]}"
101,101,007603-B01,AFFORDABLE HOUSING BLDG AT 877 YONGE ST,877 YONGE ST,TORONTO,University-Rosedale,None,South,Internal Services Group,Mixed Use Residence & Office,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,17482,188170,1982,11,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3879725966837, 43.6742489538649]]}"
102,102,000549-B07,EXPLACE - QUEEN ELIZABETH BUILDING,180 PRINCES' BLVD,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Commercial Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,12831,138112,1957,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.420553930724, 43.6329146780468]]}"
103,103,000549-B25,EXPLACE - BETTER LIVING CENTRE,195 PRINCES' BLVD,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Warehouse & Office,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,19764,212738,1962,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4208983072205, 43.6320919018412]]}"
104,104,006203-B02,LEE LIFESON ART PARK - AMPHITHEATRE PAVILION,45 PRINCESS AVE,NORTH YORK,Willowdale,None,North,Citizen-Focused Services Group A,Theatre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,104,1120,2016,18,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4100325792073, 43.7687907330988]]}"
105,105,007332-B01,ST LAWRENCE CO-OPERATIVE DAY CARE AT 2 PRINCESS ST,2 PRINCESS ST,TORONTO,Spadina-Fort York,Toronto (Amal),South,Affiliated Corporations and Organizations,Child Care Centre,City Use,Toronto Community Housing Corporation,Toronto Community Housing Corporation,Toronto Community Housing Corporation,,,1982,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3657093341935, 43.6478197788901]]}"
106,106,006064-B01,DAVID APPLETON COMMUNITY CENTRE,33 PRITCHARD AVE,TORONTO,York South-Weston,York,West,Citizen-Focused Services Group A,Community Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",Third Party Organization,569,6125,1916,5,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4888891935974, 43.6702238261957]]}"
107,107,006966-B01,BUILDING AT 330 PROGRESS AVE,330 PROGRESS AVE,TORONTO,Scarborough Centre,Toronto (Amal),East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,26733,287752,2000,21,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2687685334945, 43.7746151808209]]}"
108,108,005942-B02,INDUSTRIAL MALL - BUILDING B (U #17-22),705 PROGRESS AVE,SCARBOROUGH,Scarborough-Guildwood,None,East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Commercial Firm,Multiple,1137,12242,1972,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2460203975993, 43.7767096746741]]}"
109,109,005942-B01,INDUSTRIAL MALL - BUILDING A (U #1-16 & 101-110),705 PROGRESS AVE,SCARBOROUGH,Scarborough-Guildwood,Scarborough,East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Commercial Firm,Multiple,4656,50122,1972,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2460203975993, 43.7767096746741]]}"
110,110,000627-B01,SIR WILLIAM CAMPBELL HOUSE,160 QUEEN ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Citizen-Focused Services Group A,Museum/Heritage,City Use,Economic Development & Culture,Economic Development & Culture,Third Party Organization,714,7683,1822,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3873219430146, 43.6510581413633]]}"
111,111,000629-B01,QUEEN STREET PATRICK MARKET,238 QUEEN ST W,TORONTO,Spadina-Fort York,Toronto (Old),South,Internal Services Group,Retail Services Building,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,City of Toronto,1108,11930,1929,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3904884998579, 43.6502755350008]]}"
112,112,007657-B01,ACQUIRED BUILDING FOR FUTURE PARK,468 QUEEN ST W,TORONTO,Spadina-Fort York,None,South,Internal Services Group,Retail Services Building,City Use,"Parks, Forestry & Recreation",Facilities Management & Real Estate Services,City of Toronto,719,7741,1966,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4000951174482, 43.6482319876316]]}"
113,113,000542-B09,TRINITY BELLWOODS PARK - GREENHOUSE,790 QUEEN ST W,TORONTO,Spadina-Fort York,None,South,Citizen-Focused Services Group A,Greenhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,31,330,2009,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4138841944794, 43.6454681215402]]}"
114,114,005942-B06,INDUSTRIAL MALL - BUILDING F (U #63),705 PROGRESS AVE,SCARBOROUGH,Scarborough-Guildwood,None,East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Commercial Firm,Multiple,1015,10927,1972,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2460203975993, 43.7767096746741]]}"
115,115,005942-B05,INDUSTRIAL MALL - BUILDING E (U #47-62),705 PROGRESS AVE,SCARBOROUGH,Scarborough-Guildwood,None,East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Commercial Firm,Multiple,2483,26730,1972,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2460203975993, 43.7767096746741]]}"
116,116,005942-B03,INDUSTRIAL MALL - BUILDING C (U #23-33),705 PROGRESS AVE,SCARBOROUGH,Scarborough-Guildwood,None,East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Commercial Firm,Multiple,2820,30353,1972,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2460203975993, 43.7767096746741]]}"
117,117,005942-B04,INDUSTRIAL MALL - BUILDING D (U #36-45),705 PROGRESS AVE,SCARBOROUGH,Scarborough-Guildwood,None,East,Internal Services Group,Warehouse & Office,City Use,Facilities Management & Real Estate Services,Commercial Firm,Multiple,2349,25284,1972,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2460203975993, 43.7767096746741]]}"
118,118,005264-B01,EAST ANIMAL SHELTER,821 PROGRESS AVE,TORONTO,Scarborough-Guildwood,Scarborough,East,Citizen-Focused Services Group B,Animal Shelter,City Use,Municipal Licensing & Standards,Municipal Licensing & Standards,City of Toronto,1192,12831,1990,24,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.241808156926, 43.7803400786759]]}"
119,119,003950-B01,BURROWS HALL COMMUNITY CENTRE & LIBRARY,1081 PROGRESS AVE,TORONTO,Scarborough North,Scarborough,East,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,4012,43187,1998,23,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2343670150945, 43.7940473900167]]}"
120,120,005350-B01,KENNEDY WATER PUMPING STATION,154 PURCELL SQ,TORONTO,Scarborough-Agincourt,Scarborough,East,Citizen-Focused Services Group B,Pumping Station - Above Ground,City Use,Toronto Water,Toronto Water,City of Toronto,251,2700,1970,22,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3061810591946, 43.8184441722609]]}"
121,121,005121-B01,HIGH PARK SUBWAY STATION,35 QUEBEC AVE,TORONTO,Parkdale-High Park,Metro Toronto,South,"Agencies, Boards, and Commissions",Subway/LRT Station,City Use,Toronto Transit Commission,Toronto Transit Commission,City of Toronto,,,,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4668939843335, 43.6538555000549]]}"
122,122,000785-B01,HUMBERSIDE PARKETTE - LAWN BOWLING CLUB BLDG,280 QUEBEC AVE,TORONTO,Parkdale-High Park,Toronto (Old),South,Citizen-Focused Services Group A,Sports Clubhouse,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,61,651,1948,4,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4706428031364, 43.6599427156923]]}"
123,123,000549-B06,EXPLACE - SXX SUBSTATION (ELECTRICAL),80 QUEBEC ST,TORONTO,Spadina-Fort York,Metro Toronto,South,"Agencies, Boards, and Commissions",Yard Service Building,City Use,Exhibition Place Board,Exhibition Place Board,City of Toronto,185,1991,,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4211841018198, 43.6336247296667]]}"
124,124,000549-B05,EXPLACE - FIRE HALL NO. 346,90 QUEBEC ST,TORONTO,Spadina-Fort York,Toronto (Old),South,"Agencies, Boards, and Commissions",Fire Hall/Facility,City Use,Exhibition Place Board,Exhibition Place Board,Third Party Organization,511,5500,1912,10,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.4213297269953, 43.6336769840123]]}"
125,125,001529-B01,PARKING AUTHORITY SITE,37 QUEEN ST E,TORONTO,Toronto Centre,Toronto (Old),South,"Agencies, Boards, and Commissions",Parking Structure- Multi-Level,City Use,Toronto Parking Authority,Toronto Parking Authority,City of Toronto,16075,173032,,13,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3770867184735, 43.6526802068129]]}"
126,126,000908-B01,RALPH THORNTON COMMUNITY CENTRE & QUEEN/SAULTER LIBRARY,765 QUEEN ST E,TORONTO,Toronto-Danforth,Toronto (Old),South,Internal Services Group,Community Recreation Centre,City Use,Toronto Shelter & Support Services,Board of Management - Community Centres,City of Toronto,2094,22537,1914,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3475695519637, 43.659191908322]]}"
127,127,001577-B01,HEALTH DEPT - DENTAL CLINIC,791 QUEEN ST E,TORONTO,Toronto-Danforth,Toronto (Old),South,None,Multi-Unit Residence,City Use,Facilities Management & Real Estate Services,Facilities Management & Real Estate Services,Third Party Organization,169,1819,,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3464870671013, 43.6591710258623]]}"
128,128,000564-B02,JIMMIE SIMPSON RECREATION CENTRE & INDOOR POOL,870 QUEEN ST E,TORONTO,Toronto-Danforth,Toronto (Old),South,Citizen-Focused Services Group A,Community Recreation Centre,City Use,"Parks, Forestry & Recreation","Parks, Forestry & Recreation",City of Toronto,4079,43910,1975,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3453298607431, 43.6604435343298]]}"
129,129,007511-B02,RED DOOR SHELTER - FOUR PARKING UNITS,875 QUEEN ST E,TORONTO,Toronto-Danforth,None,South,Citizen-Focused Services Group A,Parking Garage - Below Grade,City Use,Toronto Shelter & Support Services,Commercial Firm,City of Toronto,,,2019,14,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.343262208085, 43.6602088794083]]}"
